Id,SalePrice
1461,186353.3432
1462,234525.8604
1463,285836.0223
1464,297765.1517
1465,289277.6014
1466,270553.8935
1467,291385.5338
1468,257908.9231
1469,265263.8748
1470,181142.0160
1471,296010.4471
1472,138707.0343
1473,142472.8930
1474,225116.0630
1475,178745.4895
1476,558557.2446
1477,355947.3346
1478,436657.2153
1479,384021.2873
1480,736243.2081
1481,457581.7915
1482,305245.7687
1483,278448.2786
1484,255869.5006
1485,259623.9519
1486,294501.4794
1487,454263.9224
1488,355194.1693
1489,291792.9027
1490,334523.8239
1491,291773.2072
1492,140308.7639
1493,278777.1528
1494,438465.2284
1495,398590.2477
1496,354627.8825
1497,271878.7644
1498,238459.4192
1499,236565.4735
1500,246090.5528
1501,261380.4567
1502,226764.0398
1503,439562.1725
1504,350511.8954
1505,335008.1155
1506,282781.5955
1507,375421.4612
1508,292947.6882
1509,242624.1720
1510,220800.4600
1511,214362.7912
1512,247845.3715
1513,198147.9637
1514,239465.1218
1515,325307.4502
1516,211120.5204
1517,250938.6464
1518,202936.8439
1519,326327.1541
1520,212183.9452
1521,213258.2666
1522,229020.5563
1523,171397.5384
1524,191537.0603
1525,190472.3035
1526,183661.8581
1527,154034.1099
1528,206398.0559
1529,217220.7142
1530,286600.7251
1531,175610.9620
1532,165531.6458
1533,220200.8234
1534,178087.4862
1535,217499.0955
1536,170699.6801
1537,120256.2118
1538,212715.2212
1539,313550.9368
1540,179075.1365
1541,190524.2084
1542,220157.8542
1543,360425.8313
1544,141088.8897
1545,171623.0143
1546,189179.4367
1547,211659.9953
1548,213614.5926
1549,165571.7883
1550,226212.8837
1551,180403.8645
1552,201314.7602
1553,199823.7675
1554,188836.9626
1555,257669.2134
1556,111110.3780
1557,156121.4898
1558,147080.5393
1559,168411.2094
1560,221219.4650
1561,247196.3909
1562,202336.1357
1563,177333.9369
1564,257799.4941
1565,227445.5842
1566,324348.1628
1567,104164.6371
1568,318685.5732
1569,242104.4680
1570,213278.2120
1571,191694.3795
1572,231898.3777
1573,383156.0224
1574,167558.7663
1575,303275.9362
1576,345128.7343
1577,279404.4530
1578,191191.2758
1579,219739.3711
1580,291332.5991
1581,238771.6942
1582,191817.6573
1583,502146.6004
1584,355507.9801
1585,215559.0730
1586,97117.5637
1587,144891.3057
1588,233878.5748
1589,127063.0087
1590,203146.7735
1591,156796.6305
1592,178777.9414
1593,173364.6042
1594,247685.8840
1595,173581.4171
1596,360169.8351
1597,263592.3817
1598,295051.2259
1599,266736.5454
1600,270598.0518
1601,113298.1237
1602,154235.7021
1603,142792.5815
1604,427474.1179
1605,353043.5074
1606,264943.9234
1607,266122.1244
1608,309266.1583
1609,296923.5853
1610,261727.0084
1611,202640.9903
1612,281097.3258
1613,277861.0467
1614,205846.9665
1615,134096.6237
1616,118756.3515
1617,135188.2682
1618,198797.4221
1619,202915.3927
1620,260887.0171
1621,228153.4606
1622,216587.7187
1623,468835.2055
1624,348856.8360
1625,175600.4623
1626,241663.6208
1627,295204.2365
1628,395510.4241
1629,267199.7784
1630,651275.5656
1631,334935.1632
1632,376045.9417
1633,257448.2525
1634,286526.3414
1635,268609.4319
1636,250028.9337
1637,262764.9252
1638,274653.2733
1639,281017.9879
1640,405053.1501
1641,267191.7097
1642,356929.2241
1643,339703.5651
1644,352813.9926
1645,341929.5311
1646,234832.1195
1647,237616.6118
1648,203162.0879
1649,230018.8815
1650,179289.5913
1651,185744.0552
1652,144337.5353
1653,163616.6735
1654,233791.6242
1655,216616.8491
1656,218057.5775
1657,230762.4746
1658,217467.8066
1659,197326.4029
1660,212232.4117
1661,740555.5521
1662,590893.3002
1663,547462.1938
1664,764874.4506
1665,469837.6032
1666,483009.0277
1667,541317.3125
1668,518159.0299
1669,448706.2958
1670,522899.9693
1671,429631.5822
1672,720961.5018
1673,477854.3561
1674,359908.9527
1675,307650.9172
1676,301278.5542
1677,332344.2528
1678,748872.4538
1679,608840.2631
1680,525135.3307
1681,379751.2657
1682,444715.8644
1683,280928.2392
1684,254390.2498
1685,262798.8519
1686,262445.4966
1687,253189.4626
1688,275474.5715
1689,295357.3967
1690,277144.5978
1691,264979.3742
1692,361474.2418
1693,250415.1095
1694,280080.3806
1695,255308.9213
1696,410385.2136
1697,274277.6493
1698,549920.3208
1699,548882.5403
1700,395916.3549
1701,377053.2865
1702,389283.0586
1703,378275.0068
1704,459340.0367
1705,350354.7214
1706,718215.4966
1707,319607.8470
1708,307864.6494
1709,399091.6005
1710,321343.4877
1711,349562.8561
1712,391739.7453
1713,408910.6182
1714,341969.6168
1715,313978.4991
1716,291460.3719
1717,241375.3058
1718,232707.6757
1719,315248.1692
1720,383245.2274
1721,232190.0334
1722,210259.6754
1723,239597.7596
1724,319282.6428
1725,361670.3046
1726,301261.2148
1727,251092.8604
1728,280894.8437
1729,227261.3110
1730,250373.5991
1731,193348.7290
1732,188197.5528
1733,174403.9686
1734,191200.4862
1735,209920.1870
1736,196668.5412
1737,519360.0629
1738,340793.0760
1739,494642.6885
1740,358229.4150
1741,286860.6970
1742,261041.7635
1743,265183.2468
1744,444553.7353
1745,305362.1827
1746,272696.7156
1747,300991.0388
1748,335635.6935
1749,238092.8958
1750,214906.4790
1751,358415.1334
1752,186266.3786
1753,212361.2385
1754,270810.0329
1755,255286.0502
1756,188547.7549
1757,185873.9993
1758,230129.8018
1759,227468.6724
1760,243216.3059
1761,219500.7003
1762,277707.5419
1763,277570.8923
1764,179272.4654
1765,231330.5906
1766,250205.3616
1767,346310.2004
1768,219175.0620
1769,257710.0278
1770,223441.8492
1771,209404.5031
1772,208367.4667
1773,220543.1211
1774,226847.2244
1775,213539.4720
1776,163290.1644
1777,170874.1594
1778,220338.0844
1779,174828.7905
1780,243331.3865
1781,199906.8218
1782,149659.7788
1783,208862.8875
1784,168646.1936
1785,177170.1820
1786,219410.5792
1787,220114.0301
1788,89776.6581
1789,143760.7718
1790,113647.3031
1791,255820.3303
1792,247231.6346
1793,203412.1779
1794,227721.9198
1795,209826.0072
1796,201325.3327
1797,174937.3977
1798,198503.5460
1799,168424.4153
1800,205581.5163
1801,193033.7906
1802,204075.6665
1803,225955.2166
1804,212579.8270
1805,208117.1990
1806,190414.2235
1807,184594.2456
1808,172786.1692
1809,183106.2363
1810,225128.2442
1811,161025.4315
1812,167469.5770
1813,194494.4194
1814,143785.2330
1815,93982.0557
1816,160046.3942
1817,145096.3022
1818,237340.5614
1819,208923.7591
1820,131819.0599
1821,185711.7331
1822,204013.7261
1823,90446.1935
1824,232697.5991
1825,240050.6657
1826,159937.9399
1827,153689.9792
1828,223693.3911
1829,166251.7114
1830,212791.6705
1831,252392.7508
1832,157192.4335
1833,231098.6222
1834,193100.9088
1835,184033.8722
1836,210239.0901
1837,143638.7168
1838,199116.2617
1839,162583.1923
1840,259365.5906
1841,223142.4294
1842,111960.1622
1843,209653.4302
1844,198597.1904
1845,208124.7302
1846,229320.1648
1847,257319.2924
1848,90864.9818
1849,165532.6958
1850,192593.6182
1851,250567.6903
1852,187679.6768
1853,212868.9065
1854,256089.9003
1855,224938.6815
1856,334919.4694
1857,242496.9808
1858,201693.0129
1859,179607.1848
1860,228321.4294
1861,178500.1077
1862,496326.2256
1863,496326.2256
1864,496326.2256
1865,491964.9124
1866,487023.7984
1867,342737.1460
1868,479003.0673
1869,318717.7397
1870,338643.8566
1871,342803.1849
1872,257626.4428
1873,363225.4004
1874,215800.7883
1875,306859.2484
1876,309183.5708
1877,312367.6200
1878,316436.8233
1879,192108.9935
1880,211691.5494
1881,361681.7324
1882,362520.9007
1883,296720.9901
1884,317089.6825
1885,382178.6731
1886,463010.0990
1887,304197.1723
1888,420676.9113
1889,255965.0540
1890,207586.7582
1891,217648.4645
1892,166624.3756
1893,202333.5441
1894,195682.2634
1895,213793.3103
1896,202512.0720
1897,190368.5041
1898,194178.8517
1899,234418.0550
1900,229296.5634
1901,232882.5415
1902,204057.6698
1903,331586.1201
1904,210947.4355
1905,279598.8258
1906,256481.0682
1907,318294.4677
1908,171629.8706
1909,205228.1146
1910,186733.5196
1911,274177.1178
1912,450410.6754
1913,192501.3070
1914,110961.3856
1915,490081.7910
1916,105857.7381
1917,366924.6472
1918,217726.2276
1919,252632.1192
1920,262375.3419
1921,648126.0453
1922,501317.3387
1923,359312.6161
1924,342994.7975
1925,345041.8873
1926,588220.6586
1927,218538.8785
1928,242601.8125
1929,197986.2201
1930,221355.0967
1931,214460.5963
1932,233760.6662
1933,262264.6987
1934,280502.5800
1935,261372.6343
1936,293304.5724
1937,275325.1225
1938,282970.7659
1939,375812.4520
1940,288684.4621
1941,273545.5621
1942,293745.4087
1943,292821.0427
1944,525307.7506
1945,552835.6743
1946,209966.0270
1947,499311.4944
1948,224102.6653
1949,401220.8163
1950,260040.5580
1951,378374.4005
1952,345197.3575
1953,239645.3215
1954,283855.0234
